date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blueberries,Boniato,Broccoli,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherries,Coconuts,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Greens,Guava,Jicama,Kale,Lemons,Lettuce,Longan,Lychee,Malanga,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Papayas,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plantains,Pomegranate,Potatoes,Pumpkin,Quince,Raisins,Rhubarb,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2010-10-01,0,0,0,0,0,11,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,20,0,0,0,0,0,0,0
2010-12-01,17,0,0,0,0,11,0,0,0,0,19,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,40,28,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0
2011-01-01,6,0,0,0,0,11,16,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,23,0
2011-02-01,0,0,0,0,0,13,31,0,0,0,6,0,0,9,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,29,0,0,0,0,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,12,0,25,0,0,10,0,0,0,0,8,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,100,0,8,0,5,6,0,14,100,0,0,0,0
2011-04-01,5,0,0,0,6,14,15,0,0,0,0,0,0,0,0,0,0,0,8,0,25,0,0,0,7,0,15,9,0,25,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,24,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,18,0,100,0,0,6,8,0,0,0,0,0,24,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,0,0,26,0,0,0,0,12,0,100,5,0,0,0,0,0,0,0,0,0,0,100,13,0,0
2011-07-01,8,0,0,0,5,8,0,27,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,11,8,0,5,0,0,6,0,8,0,0,0,13,0,0,0,0,0
