date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Iceberg Lettuce,Kale,Leeks,Lemons,Lettuce,Lychee,Mangos,Mushrooms,Okra,Onion,Oranges,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Prunes,Pumpkin,Quince,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Shallots,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2009-09-01,9,94,0,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,0,0,0,0,0,0,0,0,29,0,0,0,0,56,0,54,0,0,0,0,0,0,0,0,0,0
2009-10-01,8,0,0,0,0,15,14,0,0,0,22,0,0,0,0,0,0,0,64,0,0,0,0,0,17,13,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,82,0,0,34,0,0,0,0,0,52,0,0,0,0,0,0,0,13,0,0
2009-11-01,18,0,0,0,0,11,31,0,0,0,0,0,0,0,0,19,0,0,72,0,0,0,0,0,0,0,0,15,0,0,30,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,92,20,0,0,0,0,0,0,0,0,0,0,0,0,15,0,59,0,0,0,15,0,0
2009-12-01,8,0,13,0,27,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,27,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
2010-01-01,28,0,0,0,27,19,13,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,9,0,0,0,0,11,15,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,32,31,0,0,0,0,0,0,0,0,15,0,60,29,0,0,15,0,0
2010-03-01,17,0,0,0,28,20,14,0,0,0,22,0,51,0,51,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,56,18,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,34,0,0,0,54,0,52,0,0,34,0,0,73,0,0,0,0
2010-04-01,22,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0
2010-05-01,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,95,0,0,0,17,0,0,0,22,0,0,0,0,0,95,0,0,0,0,0,100,0,21,0,0,61,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
2010-06-01,11,0,0,0,0,26,0,0,0,0,28,0,0,0,66,23,22,0,85,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,40,17,0,0,0,0,0,0,0,0
2010-07-01,16,0,0,0,0,13,18,0,0,0,0,0,66,0,0,0,0,0,85,0,0,0,0,100,23,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,71,0,0,0,17,0,0
2010-08-01,11,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,23,0,0,0,0,0,0,0,0,0,0,0,66,0,39,0,0,29,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,72,0,0,0,0,0,0
2010-09-01,25,0,0,0,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,72,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
