date,Apple,Apricot,Artichoke,Avocado,Banana,Beans,Boniato,Broccoli,Cabbage,Carambola,Celery,Chayote,Corn,Cranberries,Cucumber,Garlic,Grapefruit,Greens,Guava,Jicama,Kale,Lettuce,Mangos,Okra,Onion,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Squash,Tomato,Watermelon,Cassava
2013-05-01,16,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,6,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,4,0
2013-07-01,0,0,0,0,14,0,0,0,100,5,0,0,0,0,84,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,89,0,0,0
2013-08-01,0,0,0,46,14,0,0,0,0,2,0,0,0,9,0,67,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
2013-09-01,30,0,0,46,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,12,0,0
2013-10-01,15,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53,63,0,0,0,0,0,0,0,0,0,74,0,2,0,0,0,0,0
2013-11-01,0,0,0,0,8,11,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0
2013-12-01,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,14,4,0
2014-01-01,31,0,0,48,10,0,0,0,0,2,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,70,93,13,0,0
2014-02-01,17,0,0,0,8,12,0,0,0,5,0,0,0,10,0,0,0,0,0,0,74,0,10,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,29,0,0,0,12,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
2014-05-01,0,0,0,0,11,10,0,0,0,5,0,80,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,3,0
2014-06-01,0,0,0,0,10,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,2,64,0,0,0,0
