date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blueberries,Broccoli,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Kale,Kumquat,Leeks,Lemons,Lettuce,Limes,Lychee,Mushrooms,Napa,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Radicchio,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangerines,Tomato,Turnip,Watermelon,Yams,Cassava
2010-01-01,0,0,0,67,0,24,20,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,0,26,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2010-02-01,16,24,0,0,0,22,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,30,0,0,17,0,0,0,0,28,0,0,0,23,24,0,0,0,0,0,0,0,63,41,0,0,0,0,0
2010-03-01,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,48,0,0,0,0,17,0,0,15,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
2010-04-01,17,0,0,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,17,0,0,0,0,37,100,0,17,0,0,0,0,0,0,0,0,0,0,39,17,0,0,0,0,0,0,0,0,0,0,0,0,33,34,0,41,49,0,17,0,0
2010-05-01,15,0,28,0,0,14,0,0,0,28,0,0,27,22,0,0,0,0,0,0,0,0,0,100,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,15,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,30,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,20,0,0,0,0,39,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,54,0,0,0,0,96,0,0,0,0,76,100,0,0,0,0,34,0,0,0,0,0,0,0
2010-07-01,0,27,0,0,0,9,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,22,0,0,90,0,0,0,0,0,0,0,0,0,79,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,30,0,0,17,0,38,0,0,0,0,17,0,23,0,73,0,0,0,0,0,0,0,0,48,0,0,0,0
2010-09-01,0,0,0,0,0,24,20,0,81,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,16,48,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
2010-10-01,30,0,0,65,0,16,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,33,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
2010-11-01,15,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,46,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,56,0,42,0,15,0,0
2010-12-01,0,0,0,0,0,16,19,0,0,27,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,16,0,0
2011-01-01,19,0,16,0,11,18,12,0,0,16,0,0,16,0,0,0,10,0,43,0,0,0,75,30,0,16,0,0,0,0,0,0,44,0,0,0,0,0,0,19,0,0,0,0,41,16,0,0,10,29,0,0,30,0,0,0,0,0,27,0,0,0,0,9,0,0,0,0,0,31,10,0,0
2011-02-01,10,0,0,0,0,7,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,48,0,48,22,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,32,0,0,0,17,0,0,0,0,15,0,0,0,44,19,0,0,0,0,0,0,11,0,0
2011-03-01,9,0,0,40,10,16,24,0,0,16,0,63,0,13,0,0,0,0,0,44,0,55,0,0,28,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,9,30,0,51,10,0,0,0,0,0,0,0,0,0,0,35,0,0,31,19,0,0
2011-04-01,11,0,0,0,0,17,14,0,57,0,0,0,0,0,0,0,0,11,0,0,0,0,0,34,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,19,0,0,0,0,12,0,35,0,0,11,0,15,0,0,0,74,0,10,0,0,41,0,0,71,22,0,0
2011-05-01,19,14,0,42,0,31,13,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,22,0,0,0,0,10,10,0,0,0,0,0,0,0,75,0,0,22,0,0,17,0,0,0,0,0,43,0,0,0,0,10,20,38,0,57,33,15,0,0
2011-06-01,10,0,0,0,0,9,13,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,10,0,0,0,0,0,0,0,0,0,22,0,0,10,0,0,0,0,0,18,0,0,0,31,17,0,0,17,0,0,0,0,14,43,0,0,0,14,0,20,0,0,0,0,10,0,0
