date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Blackberries,Blueberries,Bok Choy,Broccoli,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Greens,Honeydew Melon,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Loquat,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2008-09-01,0,0,0,39,0,33,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,19,60,0,0,0,0,0,0,28,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,20,0,0,23,0,0,0,0,0,20,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
2008-10-01,32,0,0,0,18,48,0,0,0,0,0,0,0,100,0,0,100,0,17,0,0,0,0,19,0,0,0,0,0,19,0,0,0,34,26,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,20,79,27,0,19,0,17,0,35,0,21,0,33,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2008-11-01,17,0,0,0,23,61,0,17,25,77,75,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,25,0,0,0,41,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,82,27,0,0,0,0,0,18,0,22,0,0,0,0,0,55,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
2008-12-01,0,18,0,0,16,30,0,0,0,0,0,0,0,0,0,41,0,0,0,34,36,0,0,0,28,0,0,0,28,0,0,0,0,36,0,0,65,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,21,0,0,0,0,0,18,0,0,0,0,0,0,91,0,0,0,0,0,0,0,40,0,0,0,42,0,0,20,0,0,0
2009-01-01,14,0,0,0,24,44,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,22,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,24,0,0,0,15,0,15,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,17,0,0,0
2009-02-01,39,0,40,0,29,41,0,16,0,0,0,100,31,0,0,0,0,0,0,0,0,0,0,0,0,51,0,23,0,0,0,18,0,48,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,69,0,0,0,0,0,0,19,0,0,0,0,0,0,0,17,68,21,91,0,0,0,0,0,0,16,0,0,0,0,0,0,38,0,100,0,0,0,0
2009-03-01,0,0,0,0,24,50,0,0,21,0,64,0,0,0,0,0,0,35,15,28,0,0,0,0,23,0,92,0,0,17,84,0,0,0,0,0,0,0,0,0,0,43,0,0,15,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,23,0,17,0,23,0,15,0,19,84,0,0,0,0,0,0,15,0,0,0,34,0,0,35,0,0,34,0,0,0
2009-04-01,17,0,0,0,21,33,0,17,0,0,0,0,0,0,0,40,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,17,0,25,0,0,0,0,0,0,97,0,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,41,0,0,19,0,0,0
2009-05-01,0,0,0,0,17,37,0,16,0,0,0,0,0,0,0,36,95,0,0,0,31,0,0,0,0,0,100,0,0,0,89,0,0,24,0,0,0,0,0,0,0,0,0,19,16,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,35,25,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,63,0,0,0,0,0
2009-06-01,16,17,0,0,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,16,0,0,59,0,0,0,0,0,0,19,16,0,0,0,0,0,19,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,17,0,17,0,0,0,33,0,0,0,0,0,0,0,16,0,37,0,0,0,0,0,18,0,0,0
