date,Apple,Apricot,Asparagus,Avocado,Banana,Beans,Beets,Bitter Melon,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lemons,Lettuce,Mushrooms,Napa,Okra,Onion,Oranges,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Prunes,Pumpkin,Raisins,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangerines,Tomato,Watermelon,Yams,Cassava
2013-03-01,3,0,0,3,2,4,0,0,0,0,7,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,5,3,0,0,18,0,5,0,3,0,9,7,0,14,14,0,3,0,0,6,0,0
2013-04-01,5,0,49,0,4,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,9,0,3,34,5,0,0,0,0,0,0,0,3,0,6,6,0,0
2013-05-01,2,0,0,3,3,3,12,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,29,0,0,0,3,0,0,0,7,3,0,0,0,0,3,0,6,0,0,0,0,0,12,0,0,0,4,6,0,0
2013-06-01,4,0,0,3,2,4,0,0,0,0,0,0,0,16,0,18,0,12,9,13,5,0,8,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,6,0,0,0,0,0,14,0,3,0,6,10,0,0
2013-07-01,0,0,0,3,1,7,0,0,0,0,6,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,8,13,3,0,4,0,0,0,0,0,0,0,5,0,0,6,0,0
2013-08-01,5,0,0,0,4,5,0,0,3,0,0,0,0,0,0,11,0,20,0,0,4,0,14,6,0,0,0,0,3,0,0,3,8,0,0,0,0,0,6,0,8,0,4,6,0,0,11,3,0,0,6,8,27,0
2013-09-01,2,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,3,0,5,0,0,6,8,0,0,0,0,0,5,5,0,0
2013-10-01,2,0,0,3,3,4,10,0,3,0,0,0,0,12,0,10,0,0,0,0,0,0,0,5,0,0,9,0,3,0,89,3,4,6,0,0,7,0,5,0,7,0,3,6,0,0,10,0,2,0,2,5,0,0
2013-11-01,2,10,0,0,5,3,0,0,3,0,0,54,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,12,3,0,2,0,4,6,0,0,0,0,2,0,7,0,0,0
2013-12-01,0,0,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,7,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,3,0,0,0,4,10,0,11,0,0,2,0,3,8,0,0
